Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
100;2360;2459;0.000075;insertionSort
1000;246841;247840;0.006936;insertionSort
10000;25022466;25032465;0.936341;insertionSort
100000;2506388464;2506488463;74.976222;insertionSort
1000000;867975522;868975521;7103.496799;insertionSort
