Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
24300;0;315924;0.003349;shellSort
24400;0;317222;0.002890;shellSort
24500;0;318524;0.002959;shellSort
24600;0;319818;0.002786;shellSort
24700;0;321121;0.002782;shellSort
24800;0;322419;0.003048;shellSort
24900;0;323719;0.003566;shellSort
25000;0;325020;0.003841;shellSort
25100;0;326319;0.002778;shellSort
25200;0;327620;0.003683;shellSort
25300;0;328921;0.003164;shellSort
25400;0;330221;0.003577;shellSort
25500;0;331522;0.002879;shellSort
25600;0;332817;0.005651;shellSort
25700;0;334120;0.003197;shellSort
25800;0;335420;0.003718;shellSort
25900;0;336721;0.002949;shellSort
26000;0;338020;0.003605;shellSort
26100;0;339323;0.004392;shellSort
26200;0;340621;0.003203;shellSort
26300;0;341923;0.003176;shellSort
26400;0;343220;0.005547;shellSort
26500;0;344521;0.003081;shellSort
26700;0;347120;0.003161;shellSort
26800;0;348420;0.003167;shellSort
26900;0;349720;0.003461;shellSort
27000;0;351022;0.004213;shellSort
27100;0;352323;0.004633;shellSort
27200;0;353619;0.004956;shellSort
27300;0;354921;0.003580;shellSort
27400;0;356220;0.003436;shellSort
27500;0;357523;0.003056;shellSort
27600;0;358822;0.003471;shellSort
27700;0;360121;0.003596;shellSort
27800;0;361421;0.003180;shellSort
27900;0;362724;0.003793;shellSort
28000;0;364021;0.003856;shellSort
28100;0;365322;0.003671;shellSort
28200;0;366621;0.003377;shellSort
28300;0;367922;0.003540;shellSort
28400;0;369223;0.004024;shellSort
28500;0;370523;0.004132;shellSort
28600;0;371824;0.003992;shellSort
28700;0;373120;0.004170;shellSort
28800;0;374418;0.003543;shellSort
28900;0;375721;0.003467;shellSort
29000;0;377020;0.003524;shellSort
29100;0;378322;0.003755;shellSort
29200;0;379619;0.003339;shellSort
29300;0;380922;0.003366;shellSort
29400;0;382222;0.003848;shellSort
29500;0;383523;0.003597;shellSort
29600;0;384821;0.008932;shellSort
29700;0;386119;0.003590;shellSort
29800;0;387421;0.003407;shellSort
29900;0;388722;0.003784;shellSort
30000;0;390021;0.003328;shellSort
30100;0;391322;0.004342;shellSort
30200;0;392624;0.003611;shellSort
30300;0;393923;0.004057;shellSort
30400;0;395221;0.004130;shellSort
30500;0;396522;0.005077;shellSort
30600;0;397822;0.003415;shellSort
30700;0;399125;0.003603;shellSort
30800;0;400420;0.003442;shellSort
30900;0;401722;0.003955;shellSort
31000;0;403021;0.003840;shellSort
31100;0;404324;0.003809;shellSort
31200;0;405622;0.003616;shellSort
31300;0;406921;0.003564;shellSort
31400;0;408222;0.003665;shellSort
31500;0;409522;0.004047;shellSort
31800;0;413422;0.003613;shellSort
31900;0;414723;0.003728;shellSort
32000;0;416020;0.003541;shellSort
32100;0;417323;0.003723;shellSort
32200;0;418623;0.004001;shellSort
32300;0;419923;0.003617;shellSort
