Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
59300;929642;1048241;0.106317;heapSort
59400;931330;1050129;0.125038;heapSort
59500;933000;1051999;0.092069;heapSort
59600;934674;1053873;0.101897;heapSort
59700;936388;1055787;0.103671;heapSort
59800;938066;1057665;0.133676;heapSort
59900;939738;1059537;0.125691;heapSort
60000;941416;1061415;0.113647;heapSort
60100;943100;1063299;0.147213;heapSort
60200;944786;1065185;0.127164;heapSort
60300;946462;1067061;0.107104;heapSort
60400;948150;1068949;0.113125;heapSort
60500;949832;1070831;0.104075;heapSort
60600;951490;1072689;0.118720;heapSort
60700;953174;1074573;0.114181;heapSort
60800;954860;1076459;0.119304;heapSort
60900;956558;1078357;0.121005;heapSort
61000;958222;1080221;0.103426;heapSort
61100;959904;1082103;0.109929;heapSort
61200;961610;1084009;0.116800;heapSort
61300;963246;1085845;0.109337;heapSort
61400;964964;1087763;0.105016;heapSort
61500;966616;1089615;0.116787;heapSort
61600;968310;1091509;0.125874;heapSort
61700;969998;1093397;0.127282;heapSort
61800;971668;1095267;0.097945;heapSort
61900;973368;1097167;0.099426;heapSort
62000;975028;1099027;0.096719;heapSort
62100;976708;1100907;0.095559;heapSort
62200;978394;1102793;0.094737;heapSort
62300;980074;1104673;0.102796;heapSort
62400;981762;1106561;0.088162;heapSort
62500;983430;1108429;0.110842;heapSort
62600;985108;1110307;0.101190;heapSort
62700;986784;1112183;0.098075;heapSort
62800;988472;1114071;0.108979;heapSort
62900;990168;1115967;0.208822;heapSort
63000;991836;1117835;0.121799;heapSort
63100;993522;1119721;0.120717;heapSort
63200;995214;1121613;0.112703;heapSort
63300;996894;1123493;0.156773;heapSort
63400;998562;1125361;0.133599;heapSort
63500;1000226;1127225;0.122300;heapSort
63600;1001934;1129133;0.123319;heapSort
63700;1003588;1130987;0.119905;heapSort
63800;1005294;1132893;0.158082;heapSort
63900;1006978;1134777;0.110187;heapSort
64000;1008668;1136667;0.107751;heapSort
64100;1010334;1138533;0.132430;heapSort
64200;1012006;1140405;0.132633;heapSort
64300;1013710;1142309;0.102357;heapSort
64400;1015390;1144189;0.104068;heapSort
64500;1017068;1146067;0.092332;heapSort
64600;1018746;1147945;0.096540;heapSort
64700;1020414;1149813;0.106290;heapSort
64800;1022104;1151703;0.111653;heapSort
64900;1023794;1153593;0.101958;heapSort
